#mass 1.0, fConst 20.0, rSep 2.0, nbFcts 50.0, nbGHpoints 100.0, nbEigval 3.0, mxPTord 50.0, 

xDist	zDist	abstand	eigenvalues	
0.0	0.0	0.0	4.077533	
0.1	0.1	0.1	4.060594	
0.1	0.1	0.2	4.011633	
0.2	0.2	0.3	3.935750	
0.3	0.3	0.4	3.840095	
0.3	0.3	0.5	3.732455	
0.4	0.4	0.6	3.620055	
0.5	0.5	0.7	3.508811	
0.6	0.6	0.8	3.403002	
0.6	0.6	0.9	3.305304	
0.7	0.7	1.0	3.217016	
0.8	0.8	1.1	3.138399	
0.8	0.8	1.2	3.069023	
0.9	0.9	1.3	3.008062	
1.0	1.0	1.4	2.954527	
1.1	1.1	1.5	2.907415	
1.1	1.1	1.6	2.865799	
1.2	1.2	1.7	2.828862	
1.3	1.3	1.8	2.795909	
1.3	1.3	1.9	2.766358	
1.4	1.4	2.0	2.739726	
1.8	1.8	2.5	2.638406	
2.1	2.1	3.0	2.570919	
2.5	2.5	3.5	2.522806	
2.8	2.8	4.0	2.486785	
3.2	3.2	4.5	2.458810	
3.5	3.5	5.0	2.436456	
3.9	3.9	5.5	2.418183	
4.2	4.2	6.0	2.402966	
4.6	4.6	6.5	2.390098	
5.0	5.0	7.0	2.379074	
5.3	5.3	7.5	2.369523	
5.7	5.7	8.0	2.361169	
6.0	6.0	8.5	2.353800	
6.4	6.4	9.0	2.347251	
6.7	6.7	9.5	2.341392	
7.1	7.1	10.0	2.336121	
7.8	7.8	11.0	2.327017	
8.5	8.5	12.0	2.319432	
9.2	9.2	13.0	2.313015	
9.9	9.9	14.0	2.307516	
10.6	10.6	15.0	2.302751	
11.3	11.3	16.0	2.298581	
12.0	12.0	17.0	2.294903	
12.7	12.7	18.0	2.291633	
13.4	13.4	19.0	2.288707	
14.1	14.1	20.0	2.286075	
14.8	14.8	21.0	2.283693	
15.6	15.6	22.0	2.281528	
16.3	16.3	23.0	2.279551	
17.0	17.0	24.0	2.277739	
17.7	17.7	25.0	2.276071	
18.4	18.4	26.0	2.274533	
19.1	19.1	27.0	2.273108	
19.8	19.8	28.0	2.271785	
20.5	20.5	29.0	2.270553	
21.2	21.2	30.0	2.269403	
21.9	21.9	31.0	2.268328	
22.6	22.6	32.0	2.267320	
23.3	23.3	33.0	2.266373	
24.0	24.0	34.0	2.265481	
24.8	24.8	35.0	2.264641	
25.5	25.5	36.0	2.263847	
26.2	26.2	37.0	2.263096	
26.9	26.9	38.0	2.262385	
27.6	27.6	39.0	2.261710	
28.3	28.3	40.0	2.261069	
29.0	29.0	41.0	2.260459	
29.7	29.7	42.0	2.259878	
30.4	30.4	43.0	2.259324	
31.1	31.1	44.0	2.258796	
31.8	31.8	45.0	2.258291	
32.5	32.5	46.0	2.257808	
33.2	33.2	47.0	2.257345	
33.9	33.9	48.0	2.256902	
34.6	34.6	49.0	2.256477	
35.4	35.4	50.0	2.256068	
36.1	36.1	51.0	2.255676	
36.8	36.8	52.0	2.255299	
37.5	37.5	53.0	2.254936	
38.2	38.2	54.0	2.254587	
38.9	38.9	55.0	2.254250	
39.6	39.6	56.0	2.253925	
40.3	40.3	57.0	2.253612	
41.0	41.0	58.0	2.253310	
41.7	41.7	59.0	2.253017	
