#mass 1.0, fConst 20.0, rSep 2.0, zDist 0.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	mxPTord	
0.0	4.077533	
0.1	4.064125	
0.2	4.025133	
0.3	3.963949	
0.4	3.885364	
0.5	3.794675	
0.6	3.696962	
0.7	3.596636	
0.8	3.497242	
0.9	3.401431	
1.0	3.311042	
1.1	3.227215	
1.2	3.150525	
1.3	3.081108	
1.4	3.018781	
1.5	2.963140	
1.6	2.913643	
1.7	2.869684	
1.8	2.830636	
1.9	2.795894	
2.0	2.764899	
2.5	2.650571	
3.0	2.577650	
3.5	2.526933	
4.0	2.489504	
4.5	2.460698	
5.0	2.437822	
5.5	2.419204	
6.0	2.403749	
6.5	2.390713	
7.0	2.379565	
7.5	2.369922	
8.0	2.361497	
8.5	2.354073	
9.0	2.347481	
9.5	2.341588	
10.0	2.336288	
11.0	2.327143	
12.0	2.319529	
13.0	2.313091	
14.0	2.307577	
15.0	2.302800	
16.0	2.298622	
17.0	2.294937	
18.0	2.291661	
19.0	2.288732	
20.0	2.286096	
21.0	2.283711	
22.0	2.281543	
23.0	2.279564	
24.0	2.277751	
25.0	2.276082	
26.0	2.274542	
27.0	2.273116	
28.0	2.271792	
29.0	2.270560	
30.0	2.269410	
31.0	2.268333	
32.0	2.267325	
33.0	2.266377	
34.0	2.265485	
35.0	2.264645	
36.0	2.263851	
37.0	2.263099	
38.0	2.262388	
39.0	2.261713	
40.0	2.261071	
41.0	2.260461	
42.0	2.259881	
43.0	2.259327	
44.0	2.258798	
45.0	2.258293	
46.0	2.257809	
47.0	2.257347	
48.0	2.256903	
49.0	2.256478	
50.0	2.256070	
51.0	2.255677	
52.0	2.255300	
53.0	2.254937	
54.0	2.254588	
55.0	2.254251	
56.0	2.253926	
57.0	2.253613	
58.0	2.253310	
59.0	2.253018	
