#mass 1.0, fConst 20.0, rSep 2.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	zDist	mxPTord	
0.0	0.0	4.077533	
0.0	0.1	4.057072	
0.0	0.2	3.998287	
0.0	0.3	3.908330	
0.0	0.4	3.797212	
0.0	0.5	3.675637	
0.0	0.6	3.553055	
0.0	0.7	3.436446	
0.0	0.8	3.329986	
0.0	0.9	3.235407	
0.0	1.0	3.152709	
0.0	1.1	3.080902	
0.0	1.2	3.018585	
0.0	1.3	2.964316	
0.0	1.4	2.916787	
0.0	1.5	2.874893	
0.0	1.6	2.837726	
0.0	1.7	2.804548	
0.0	1.8	2.774762	
0.0	1.9	2.747883	
0.0	2.0	2.723511	
0.0	2.5	2.629409	
0.0	3.0	2.565468	
0.0	3.5	2.519273	
0.0	4.0	2.484372	
0.0	4.5	2.457092	
0.0	5.0	2.435191	
0.0	5.5	2.417225	
0.0	6.0	2.402224	
0.0	6.5	2.389512	
0.0	7.0	2.378602	
0.0	7.5	2.369139	
0.0	8.0	2.360851	
0.0	8.5	2.353534	
0.0	9.0	2.347027	
0.0	9.5	2.341201	
0.0	10.0	2.335957	
0.0	11.0	2.326893	
0.0	12.0	2.319337	
0.0	13.0	2.312940	
0.0	14.0	2.307456	
0.0	15.0	2.302702	
0.0	16.0	2.298541	
0.0	17.0	2.294869	
0.0	18.0	2.291604	
0.0	19.0	2.288683	
0.0	20.0	2.286054	
0.0	21.0	2.283675	
0.0	22.0	2.281512	
0.0	23.0	2.279537	
0.0	24.0	2.277727	
0.0	25.0	2.276061	
0.0	26.0	2.274523	
0.0	27.0	2.273099	
0.0	28.0	2.271777	
0.0	29.0	2.270546	
0.0	30.0	2.269397	
0.0	31.0	2.268322	
0.0	32.0	2.267315	
0.0	33.0	2.266368	
0.0	34.0	2.265477	
0.0	35.0	2.264637	
0.0	36.0	2.263843	
0.0	37.0	2.263093	
0.0	38.0	2.262382	
0.0	39.0	2.261707	
0.0	40.0	2.261066	
0.0	41.0	2.260457	
0.0	42.0	2.259876	
0.0	43.0	2.259322	
0.0	44.0	2.258794	
0.0	45.0	2.258289	
0.0	46.0	2.257806	
0.0	47.0	2.257343	
0.0	48.0	2.256900	
0.0	49.0	2.256475	
0.0	50.0	2.256067	
0.0	51.0	2.255675	
0.0	52.0	2.255298	
0.0	53.0	2.254935	
0.0	54.0	2.254586	
0.0	55.0	2.254249	
0.0	56.0	2.253924	
0.0	57.0	2.253611	
0.0	58.0	2.253309	
0.0	59.0	2.253017	
0.1	0.0	4.064125	
0.1	0.1	4.060594	
0.2	0.0	4.025133	
0.1	0.1	4.011633	
0.3	0.0	3.963949	
0.2	0.2	3.935750	
0.4	0.0	3.885364	
0.3	0.3	3.840095	
0.5	0.0	3.794675	
0.3	0.3	3.732455	
0.6	0.0	3.696962	
0.4	0.4	3.620055	
0.7	0.0	3.596636	
0.5	0.5	3.508811	
0.8	0.0	3.497242	
0.6	0.6	3.403002	
0.9	0.0	3.401431	
0.6	0.6	3.305304	
1.0	0.0	3.311042	
0.7	0.7	3.217016	
1.1	0.0	3.227215	
0.8	0.8	3.138399	
1.2	0.0	3.150525	
0.8	0.8	3.069023	
1.3	0.0	3.081108	
0.9	0.9	3.008062	
1.4	0.0	3.018781	
1.0	1.0	2.954527	
1.5	0.0	2.963140	
1.1	1.1	2.907415	
1.6	0.0	2.913643	
1.1	1.1	2.865799	
1.7	0.0	2.869684	
1.2	1.2	2.828862	
1.8	0.0	2.830636	
1.3	1.3	2.795909	
1.9	0.0	2.795894	
1.3	1.3	2.766358	
2.0	0.0	2.764899	
1.4	1.4	2.739726	
2.5	0.0	2.650571	
1.8	1.8	2.638406	
3.0	0.0	2.577650	
2.1	2.1	2.570919	
3.5	0.0	2.526933	
2.5	2.5	2.522806	
4.0	0.0	2.489504	
2.8	2.8	2.486785	
4.5	0.0	2.460698	
3.2	3.2	2.458810	
5.0	0.0	2.437822	
3.5	3.5	2.436456	
5.5	0.0	2.419204	
3.9	3.9	2.418183	
6.0	0.0	2.403749	
4.2	4.2	2.402966	
6.5	0.0	2.390713	
4.6	4.6	2.390098	
7.0	0.0	2.379565	
5.0	5.0	2.379074	
7.5	0.0	2.369922	
5.3	5.3	2.369523	
8.0	0.0	2.361497	
5.7	5.7	2.361169	
8.5	0.0	2.354073	
6.0	6.0	2.353800	
9.0	0.0	2.347481	
6.4	6.4	2.347251	
9.5	0.0	2.341588	
6.7	6.7	2.341392	
10.0	0.0	2.336288	
7.1	7.1	2.336121	
11.0	0.0	2.327143	
7.8	7.8	2.327017	
12.0	0.0	2.319529	
8.5	8.5	2.319432	
13.0	0.0	2.313091	
9.2	9.2	2.313015	
14.0	0.0	2.307577	
9.9	9.9	2.307516	
15.0	0.0	2.302800	
10.6	10.6	2.302751	
16.0	0.0	2.298622	
11.3	11.3	2.298581	
17.0	0.0	2.294937	
12.0	12.0	2.294903	
18.0	0.0	2.291661	
12.7	12.7	2.291633	
19.0	0.0	2.288732	
13.4	13.4	2.288707	
20.0	0.0	2.286096	
14.1	14.1	2.286075	
21.0	0.0	2.283711	
14.8	14.8	2.283693	
22.0	0.0	2.281543	
15.6	15.6	2.281528	
23.0	0.0	2.279564	
16.3	16.3	2.279551	
24.0	0.0	2.277751	
17.0	17.0	2.277739	
25.0	0.0	2.276082	
17.7	17.7	2.276071	
26.0	0.0	2.274542	
18.4	18.4	2.274533	
27.0	0.0	2.273116	
19.1	19.1	2.273108	
28.0	0.0	2.271792	
19.8	19.8	2.271785	
29.0	0.0	2.270560	
20.5	20.5	2.270553	
30.0	0.0	2.269410	
21.2	21.2	2.269403	
31.0	0.0	2.268333	
21.9	21.9	2.268328	
32.0	0.0	2.267325	
22.6	22.6	2.267320	
33.0	0.0	2.266377	
23.3	23.3	2.266373	
34.0	0.0	2.265485	
24.0	24.0	2.265481	
35.0	0.0	2.264645	
24.8	24.8	2.264641	
36.0	0.0	2.263851	
25.5	25.5	2.263847	
37.0	0.0	2.263099	
26.2	26.2	2.263096	
38.0	0.0	2.262388	
26.9	26.9	2.262385	
39.0	0.0	2.261713	
27.6	27.6	2.261710	
40.0	0.0	2.261071	
28.3	28.3	2.261069	
41.0	0.0	2.260461	
29.0	29.0	2.260459	
42.0	0.0	2.259881	
29.7	29.7	2.259878	
43.0	0.0	2.259327	
30.4	30.4	2.259324	
44.0	0.0	2.258798	
31.1	31.1	2.258796	
45.0	0.0	2.258293	
31.8	31.8	2.258291	
46.0	0.0	2.257809	
32.5	32.5	2.257808	
47.0	0.0	2.257347	
33.2	33.2	2.257345	
48.0	0.0	2.256903	
33.9	33.9	2.256902	
49.0	0.0	2.256478	
34.6	34.6	2.256477	
50.0	0.0	2.256070	
35.4	35.4	2.256068	
51.0	0.0	2.255677	
36.1	36.1	2.255676	
52.0	0.0	2.255300	
36.8	36.8	2.255299	
53.0	0.0	2.254937	
37.5	37.5	2.254936	
54.0	0.0	2.254588	
38.2	38.2	2.254587	
55.0	0.0	2.254251	
38.9	38.9	2.254250	
56.0	0.0	2.253926	
39.6	39.6	2.253925	
57.0	0.0	2.253613	
40.3	40.3	2.253612	
58.0	0.0	2.253310	
41.0	41.0	2.253310	
59.0	0.0	2.253018	
41.7	41.7	2.253017	
