#mass 1.0, fConst 3.0, rSep 2.0, nbFcts 50.0, nbGHpoints 100.0, nbEigval 3.0, mxPTord 50.0, 

xDist	zDist	abstand	eigenvalues	
0.0	0.0	0.0	2.373076	
0.1	0.1	0.1	2.361766	
0.1	0.1	0.2	2.329155	
0.2	0.2	0.3	2.278726	
0.3	0.3	0.4	2.215080	
0.3	0.3	0.5	2.142937	
0.4	0.4	0.6	2.066521	
0.5	0.5	0.7	1.989288	
0.6	0.6	0.8	1.913866	
0.6	0.6	0.9	1.842092	
0.7	0.7	1.0	1.775108	
0.8	0.8	1.1	1.713486	
0.8	0.8	1.2	1.657365	
0.9	0.9	1.3	1.606579	
1.0	1.0	1.4	1.560780	
1.1	1.1	1.5	1.519520	
1.1	1.1	1.6	1.482326	
1.2	1.2	1.7	1.448736	
1.3	1.3	1.8	1.418324	
1.3	1.3	1.9	1.390707	
1.4	1.4	2.0	1.365552	
1.8	1.8	2.5	1.267797	
2.1	2.1	3.0	1.201235	
2.5	2.5	3.5	1.153308	
2.8	2.8	4.0	1.117267	
3.2	3.2	4.5	1.089220	
3.5	3.5	5.0	1.066791	
3.9	3.9	5.5	1.048452	
4.2	4.2	6.0	1.033182	
4.6	4.6	6.5	1.020270	
5.0	5.0	7.0	1.009211	
5.3	5.3	7.5	0.999632	
5.7	5.7	8.0	0.991255	
6.0	6.0	8.5	0.983867	
6.4	6.4	9.0	0.977302	
6.7	6.7	9.5	0.971431	
7.1	7.1	10.0	0.966149	
7.8	7.8	11.0	0.957029	
8.5	8.5	12.0	0.949433	
9.2	9.2	13.0	0.943007	
9.9	9.9	14.0	0.937501	
10.6	10.6	15.0	0.932731	
11.3	11.3	16.0	0.928558	
12.0	12.0	17.0	0.924876	
12.7	12.7	18.0	0.921604	
13.4	13.4	19.0	0.918677	
14.1	14.1	20.0	0.916042	
14.8	14.8	21.0	0.913659	
15.6	15.6	22.0	0.911493	
16.3	16.3	23.0	0.909515	
17.0	17.0	24.0	0.907702	
17.7	17.7	25.0	0.906034	
18.4	18.4	26.0	0.904495	
19.1	19.1	27.0	0.903069	
19.8	19.8	28.0	0.901746	
20.5	20.5	29.0	0.900514	
21.2	21.2	30.0	0.899364	
21.9	21.9	31.0	0.898288	
22.6	22.6	32.0	0.897280	
23.3	23.3	33.0	0.896332	
24.0	24.0	34.0	0.895441	
24.8	24.8	35.0	0.894600	
25.5	25.5	36.0	0.893806	
26.2	26.2	37.0	0.893055	
26.9	26.9	38.0	0.892344	
27.6	27.6	39.0	0.891669	
28.3	28.3	40.0	0.891028	
29.0	29.0	41.0	0.890418	
29.7	29.7	42.0	0.889837	
30.4	30.4	43.0	0.889283	
31.1	31.1	44.0	0.888754	
31.8	31.8	45.0	0.888249	
32.5	32.5	46.0	0.887766	
33.2	33.2	47.0	0.887303	
33.9	33.9	48.0	0.886860	
34.6	34.6	49.0	0.886435	
35.4	35.4	50.0	0.886027	
36.1	36.1	51.0	0.885634	
36.8	36.8	52.0	0.885257	
37.5	37.5	53.0	0.884894	
38.2	38.2	54.0	0.884545	
38.9	38.9	55.0	0.884208	
39.6	39.6	56.0	0.883883	
40.3	40.3	57.0	0.883570	
41.0	41.0	58.0	0.883268	
41.7	41.7	59.0	0.882975	
