1  1.8194535317106202
2  2.3582530524214182
3  3.357906165182175
4  4.209809822059432
5  5.1873313548251385
6  6.121104804115957
7  7.099453622082019
8  8.061304876042284
9  9.043043891405528
10  10.017615906901208
11  11.002440897030404
12  11.9838913384178
13  12.97117774805946
14  13.956812524847235
15  14.946021540129742
16  15.934422205788366
17  16.92514107083987
18  17.915485267567547
19  18.907405078179934
20  19.89917994149006
21  20.89206893958337
22  21.88493586392031
23  22.87861833500703
24  23.872343345566986
25  24.866684417558766
26  25.861099729122717
27  26.855994717960904
28  27.85097626312459
29  28.846343296165184
30  29.841796946895684
31  30.83757197422602
32  31.833424744480208
33  32.829558432728255
34  33.82575266071695
35  34.82220906932851
36  35.818698446181415
37  36.81545598679664
38  37.81220275709467
39  38.80925923165132
40  39.80623213305886
41  40.80361928132387
42  41.8007918874827
43  42.7986174638122
44  43.79596649661785
45  44.794557690517
46  45.79206008515151
47  46.792643885340844
48  47.790265901748576
49  48.80186653306319
50  49.79944988772385
