# force constant = 3.0 ; mass = 1.0 ; range separation parameter = 2.0 ; xDist = 0.0 ; zDist = 0.0
#x	perturbation potential	total potential
-82.94449870053714	0.008525059434495906	10319.693322084546
-82.72373432440644	0.00854781021385692	10264.832878672683
-82.54290516525234	0.00856653615196736	10220.005356215912
-82.38302171969224	0.008583161511026803	10180.451984662435
-82.23681323558141	0.008598421477750107	10144.348775137325
-82.10052606102703	0.008612694888957719	10110.753181940954
-81.97190515206312	0.008626208941646766	10079.098477597188
-81.84946283168107	0.008639113278491196	10049.010487865391
-81.73215276859496	0.008651512987655558	10020.225845796405
-81.61920385139798	0.008663485403189657	9992.550319489492
-81.51002717249182	0.00867508950389828	9965.835469580035
-81.40416014521603	0.008686371555521821	9939.964619793522
-81.30123103746168	0.008697368688805333	9914.84394967877
-81.20093545062913	0.008708111270669715	9890.39658519713
-81.10302014720205	0.008718624533379252	9866.558534120724
-81.00727159020067	0.008728929728230535	9843.275804662528
-80.91350761080476	0.008739044963762321	9820.502309870602
-80.82157121525368	0.008748985828341497	9798.198309539313
-80.73132589268339	0.008758765861550553	9776.329229351837
-80.64265199981568	0.008768396917156985	9754.864750741981
-80.55544393357556	0.008777889446796592	9733.7780988926
-80.46960789037401	0.008787252724654242	9713.045478298538
-80.38506006906202	0.008796495027546708	9692.645619955092
-80.30172521414653	0.008805623780819822	9672.559414176225
-80.21953542328579	0.008814645677707221	9652.769609937384
-80.13842916242301	0.00882356677784883	9633.260566497813
-80.05835044577722	0.00883239258927105	9614.018046540905
-79.9792481479889	0.008841128137115751	9595.029042604516
-79.90107542314593	0.008849778021657406	9576.281630440903
-79.823789210957	0.008858346467590223	9557.76484433941
-79.7473498145216	0.00886683736614639	9539.468570496883
-79.67172053733401	0.008875254311286006	9521.383455322886
-79.59686736961473	0.008883600630952445	9503.500826184687
-79.52275871597027	0.008891879414195194	9485.81262257705
-79.44936515787704	0.008900093534812104	9468.311336078064
-79.37665924566612	0.00890824567204439	9450.989957749562
-79.30461531562486	0.008916338328763457	9433.84193187719
-79.23320932858424	0.00892437384751309	9416.86111513472
-79.16241872696708	0.008932354424709714	9400.041740409926
-79.09222230776615	0.00894028212325393	9383.378384653775
-79.02260010932174	0.008948158883766405	9366.86594021555
-78.953533310099	0.008955986534627968	9350.499589209905
-78.88500413793719	0.008963766800976656	9334.274780530352
-78.81699578846862	0.008971501312791742	9318.187209180533
-78.74949235159335	0.00897919161217603	9302.232797642102
-78.68247874505171	0.008986839159931995	9286.407679037433
-78.61594065427073	0.008994445341514012	9270.708181879067
-78.54986447777009	0.009002011472427955	9255.130816225543
-78.48423727750868	0.009009538803139825	9239.672261087228
-78.41904673363295	0.009017028523547178	9224.329352946088
-78.35428110315621	0.00902448176706026	9209.0990752704
-78.289929182157	0.009031899614333842	9193.978548920351
-78.22598027113483	0.00903928309668582	9178.965023353061
-78.16242414320492	0.009046633199234265	9164.055868546593
-78.09925101485082	0.00905395086378087	9149.24856757188
-78.03645151898651	0.009061236991465537	9134.54070974969
-77.9740166801075	0.00906849244521403	9119.929984336968
-77.911937891335	0.009075718051998147	9105.414174692916
-77.85020689317908	0.00908291460492575	9090.991152880784
-77.78881575386451	0.009090082865176138	9076.658874665885
-77.72775685108084	0.00909722356379457	9062.41537487468
-77.66702285503128	0.009104337403358328	9048.25876308333
-77.60660671266895	0.009111425059525445	9034.18721960737
-77.54650163301953	0.00911848718247606	9020.198991767033
-77.48670107349966	0.009125524398255444	9006.292390405239
-77.42719872714935	0.009132537310026756	8992.465786637526
-77.36798851070408	0.009139526499240925	8978.717608815157
-77.30906455344025	0.009146492526730247	8965.046339684513
-77.2504211867324	0.009153435933731732	8951.450513727264
-77.19205293426785	0.009160357242845677	8937.928714667458
-77.13395450286805	0.009167256958934411	8924.479573132738
-77.07612077387134	0.009174135569965729	8911.101764458172
-77.01854679503516	0.009180993547805159	8897.79400662208
-76.96122777291998	0.009187831348960809	8884.555058304255
-76.90415906571997	0.00919464941528423	8871.383717057754
-76.8473361765087	0.009201448174630436	8858.27881758619
-76.7907547468706	0.009208228041480002	8845.239230119087
-76.73441055089155	0.009214989417525823	8832.263858878583
-76.67829948948388	0.009221732692227015	8819.351640631168
-76.62241758502323	0.00922845824333217	8806.501543318758
-76.56676097627646	0.009235166437374024	8793.712564763813
-76.51132591360131	0.009241857630137424	8780.98373144361
-76.4561087544003	0.009248532167102358	8768.314097329197
-76.40110595881235	0.009255190383863646	8755.702742784892
-76.34631408562689	0.009261832606528792	8743.148773524392
-76.29172978840701	0.009268459152095364	8730.651319620118
-76.23734981180786	0.00927507032880921	8718.209534562267
-76.18317098807908	0.009281666436504637	8705.82259436478
-76.12919023373956	0.009288247766927724	8693.489696715129
-76.07540454641445	0.009294814604043727	8681.21006016553
-76.02181100182474	0.009301367224329539	8668.982923362966
-75.96840675092041	0.009307905897052137	8656.80754431583
-75.91518901714888	0.009314430884533731	8644.683199695046
-75.86215509385083	0.009320942442404508	8632.609184167659
-75.80930234177649	0.009327440819843553	8620.584809761136
-75.75662818671516	0.009333926259808738	8608.60940525657
-75.70413011723222	0.009340398999256073	8596.682315609241
-75.65180568250702	0.009346859269349231	8584.80290139497
-75.59965249026689	0.00935330729565965	8572.970538280972
-75.54766820481153	0.009359743298357854	8561.184616519737
-75.49585054512319	0.009366167492396368	8549.44454046486
-75.4441972830581	0.009372580087684712	8537.749728107574
-75.39270624161486	0.009378981289256896	8526.099610632938
-75.34137529327573	0.009385371297431801	8514.493631994625
-75.29020235841726	0.009391750307966793	8502.931248507437
