1  0.5912543883910821
2  1.5920228221215817
3  2.5928109594754147
4  3.5936196552718034
5  4.594449817050102
6  5.595302409315834
7  6.596178458211558
8  7.597079056663302
9  8.598005370060974
10  9.598958642539285
11  10.599940203935386
12  11.600951477511083
13  12.601993988540489
14  13.603069373880093
15  14.604179392656299
16  15.60532593822768
17  16.606511051605054
18  17.60773693654366
19  18.609005976558272
20  19.610320754157243
21  20.611684072644287
22  21.613098980901988
23  22.61456880164996
24  23.616097163765716
25  24.61768803937563
26  25.619345786566896
27  26.621075198752607
28  27.622881561945654
29  28.624770721477894
30  29.626749160055315
31  30.628824089488695
32  31.631003559014047
33  32.63329658385523
34  33.635713298639956
35  34.6382651415364
36  35.640965076636995
37  36.64382786434685
38  37.646870392597506
39  38.65011208613142
40  39.65357541815922
41  40.65728656222148
42  41.66127625499101
43  42.66558103914382
44  43.670245389754164
45  44.67532645352242
46  45.68090793950584
47  46.68715047844847
48  47.69451198564352
49  48.70502582125064
50  49.738506374314476
