#mass 1.0, fConst 1.0, rSep 2.0, nbFcts 50.0, nbGHpoints 100.0, nbEigval 3.0, mxPTord 50.0, 

xDist	zDist	abstand	eigenvalues	
0.0	0.0	0.0	1.751499	
0.316228	0.316228	0.45	1.616772	
0.447214	0.447214	0.63	1.518961	
0.547723	0.547723	0.77	1.441748	
0.632456	0.632456	0.89	1.378503	
0.707107	0.707107	1.0	1.325519	
0.774597	0.774597	1.1	1.280403	
0.836660	0.836660	1.18	1.241478	
0.894427	0.894427	1.26	1.207517	
0.948683	0.948683	1.34	1.177598	
1.0	1.0	1.41	1.151011	
1.224745	1.224745	1.73	1.052174	
1.414214	1.414214	2.0	0.987117	
1.581139	1.581139	2.24	0.940253	
1.732051	1.732051	2.45	0.904471	
1.870829	1.870829	2.65	0.876022	
2.0	2.0	2.83	0.852720	
2.121320	2.121320	3.0	0.833192	
2.236068	2.236068	3.16	0.816527	
2.449490	2.449490	3.46	0.789440	
2.645751	2.645751	3.74	0.768212	
2.828427	2.828427	4.0	0.751009	
3.0	3.0	4.24	0.736710	
