#mass	fConst	rSep	xDist	zDist	nbFcts	nbGHpoints	nbEigval	mxPTord	eigenvalues
1.0	1.0	2.0	0.0	0.0	50	100	3	50	1.7514990483710513	2.2068929805663786	3.296214667514577
1.0	1.0	2.0	0.0	0.1	50	100	3	50	1.7431973119128146	2.204536845892221	3.28944026845801
1.0	1.0	2.0	0.0	0.2	50	100	3	50	1.71883690324134	2.1976184954613145	3.270081946353982
1.0	1.0	2.0	0.0	0.3	50	100	3	50	1.6800643120762764	2.186567853634042	3.2407766305747905
1.0	1.0	2.0	0.0	0.4	50	100	3	50	1.6295915560295888	2.172036380903109	3.205139955927478
1.0	1.0	2.0	0.0	0.5	50	100	3	50	1.5709636761200514	2.1548092172651496	3.1668770172417133
1.0	1.0	2.0	0.0	0.6	50	100	3	50	1.508065733573689	2.1357043699518137	3.1290274770475595
1.0	1.0	2.0	0.0	0.7	50	100	3	50	1.4444970139534958	2.115480880770753	3.0935872069749295
1.0	1.0	2.0	0.0	0.8	50	100	3	50	1.3830601235708369	2.0947752852405355	3.061526339495532
1.0	1.0	2.0	0.0	0.9	50	100	3	50	1.3255443540300902	2.0740747892514584	3.033047673185002
1.0	1.0	2.0	0.0	1.0	50	100	3	50	1.2728051912363714	2.0537225092916698	3.0079010297029694
1.0	1.0	2.0	0.0	1.1	50	100	3	50	1.2250130856045474	2.0339420091334404	2.9856392282034405
1.0	1.0	2.0	0.0	1.2	50	100	3	50	1.1819296897138023	2.0148677880276136	2.965780982706715
1.0	1.0	2.0	0.0	1.3	50	100	3	50	1.1431262541317677	1.9965727989925928	2.947892920603442
1.0	1.0	2.0	0.0	1.4	50	100	3	50	1.1081215806190903	1.979089389827993	2.9316180308173063
1.0	1.0	2.0	0.0	1.5	50	100	3	50	1.076453384092833	1.9624236921134466	2.916675531728378
1.0	1.0	2.0	0.0	1.6	50	100	3	50	1.0477071071143675	1.9465650034864446	2.902849093360377
1.0	1.0	2.0	0.0	1.7	50	100	3	50	1.0215223643204565	1.9314918391073386	2.889972661936542
1.0	1.0	2.0	0.0	1.8	50	100	3	50	0.99758969961721	1.9171759088252176	2.8779178743067293
1.0	1.0	2.0	0.0	1.9	50	100	3	50	0.9756442016990124	1.903584812364355	2.8665841726465455
1.0	1.0	2.0	0.0	2.0	50	100	3	50	0.955458813210494	1.8906839135331215	2.855891475624159
1.0	1.0	2.0	0.0	2.5	50	100	3	50	0.8749538041266346	1.8353005973629604	2.8101171663542814
1.0	1.0	2.0	0.0	3.0	50	100	3	50	0.817938659076835	1.7921750091162534	2.7739548495253192
1.0	1.0	2.0	0.0	3.5	50	100	3	50	0.7756149144089598	1.7580548592117573	2.744686798312378
1.0	1.0	2.0	0.0	4.0	50	100	3	50	0.7430355390657275	1.730590171368536	2.7206024281653516
1.0	1.0	2.0	0.0	4.5	50	100	3	50	0.7172262023501588	1.708115891762684	2.700513275337165
1.0	1.0	2.0	0.0	5.0	50	100	3	50	0.6962994662571612	1.6894471122491104	2.6835563238351976
1.0	1.0	2.0	0.0	5.5	50	100	3	50	0.6790036575547723	1.6737295703858073	2.6690896681359564
1.0	1.0	2.0	0.0	6.0	50	100	3	50	0.6644778315443849	1.660337504651791	2.6566278458622548
1.0	1.0	2.0	0.0	6.5	50	100	3	50	0.6521113183823242	1.6488049409173717	2.645798619336745
1.0	1.0	2.0	0.0	7.0	50	100	3	50	0.6414594767613164	1.638779321065877	2.6363130076887407
1.0	1.0	2.0	0.0	7.5	50	100	3	50	0.6321911667612872	1.6299898671893	2.6279440645491405
1.0	1.0	2.0	0.0	8.0	50	100	3	50	0.6240548879116634	1.622225694698992	2.620511623122172
1.0	1.0	2.0	0.0	8.5	50	100	3	50	0.6168563064317752	1.615320440958761	2.6138711927295253
1.0	1.0	2.0	0.0	9.0	50	100	3	50	0.6104429557087666	1.6091413062106994	2.6079057839389534
1.0	1.0	2.0	0.0	9.5	50	100	3	50	0.6046935826215908	1.6035811255369419	2.6025198240206193
1.0	1.0	2.0	0.0	10.0	50	100	3	50	0.5995105783162372	1.5985525533800213	2.597634580692395
1.0	1.0	2.0	0.0	11.0	50	100	3	50	0.590540058327745	1.5898150869835939	2.5891154674777765
1.0	1.0	2.0	0.0	12.0	50	100	3	50	0.5830482982198024	1.582486787279008	2.5819419305647924
1.0	1.0	2.0	0.0	13.0	50	100	3	50	0.5766984024953927	1.5762548349667895	2.575822560421462
1.0	1.0	2.0	0.0	14.0	50	100	3	50	0.5712483725599986	1.5708919911614438	2.5705434797241384
1.0	1.0	2.0	0.0	15.0	50	100	3	50	0.5665199521770726	1.5662293823178697	2.5659444291920868
1.0	1.0	2.0	0.0	16.0	50	100	3	50	0.5623789711157217	1.5621389926465037	2.561903107574261
1.0	1.0	2.0	0.0	17.0	50	100	3	50	0.5587225296986453	1.5585220712511714	2.558324651780505
1.0	1.0	2.0	0.0	18.0	50	100	3	50	0.5554704023795619	1.5553012573762734	2.555134406076352
1.0	1.0	2.0	0.0	19.0	50	100	3	50	0.5525591260249306	1.5524151086614033	2.5522728482939114
1.0	1.0	2.0	0.0	20.0	50	100	3	50	0.54993784413462	1.5498142213759352	2.5496919625520236
1.0	1.0	2.0	0.0	21.0	50	100	3	50	0.5475653278036005	1.5474584290048987	2.547352601874005
1.0	1.0	2.0	0.0	22.0	50	100	3	50	0.545407802551357	1.5453147460318715	2.5452225408423117
1.0	1.0	2.0	0.0	23.0	50	100	3	50	0.543437337872053	1.5433558360967417	2.543275017437707
