# force constant = 1.0 ; mass = 1.0 ; range separation parameter = 2.0 ; xDist = 0.2 ; zDist = 0.2
#x	perturbation potential	total potential
-117.94769804739158	0.005987903692492909	6955.835725243022
-117.6645517040559	0.0060022955823974735	6922.479366153804
-117.43263618370538	0.006014135128641135	6895.2180346623845
-117.22759206619182	0.006024641830583084	6871.16019546057
-117.04009235685395	0.00603428172097473	6849.197643732171
-116.86532174475141	0.006043294992710454	6828.7577565471265
-116.70038733514676	0.006051825721938832	6809.4962539123635
-116.54338062410189	0.006059968820624241	6791.185843615964
-116.39295927932464	0.006067790952708705	6773.666552690214
-116.24813403256613	0.006075341183676328	6756.820408367913
-116.10814935686821	0.006082656938928256	6740.557256195347
-115.97241177841562	0.006089767580934492	6724.806236618778
-115.84044437889837	0.006096696677927774	6709.510373647001
-115.71185662160025	0.006103463507480641	6694.622984872394
-115.58632360449606	0.0061100840896547255	6680.105212285731
-115.46357135791386	0.0061165719186782345	6665.924271933953
-115.3433661551461	0.006122938494584575	6652.052180938546
-115.22550656743232	0.006129193718119646	6638.464811054412
-115.1098174444285	0.006135346189765256	6625.141171391017
-114.99614527613106	0.006141403440004143	6612.062855587959
-114.88435456561015	0.006147372109298989	6599.213609350524
-114.77432495436291	0.006153258090647799	6586.578987622936
-114.6659489168445	0.0061590666438504854	6574.14607956684
-114.55912989151803	0.006164802488089965	6561.903285553338
-114.45378075094722	0.0061704698776778935	6549.840134562825
-114.34982253826885	0.006176072664579016	6537.947133339455
-114.24718341516162	0.006181614350442895	6526.21564076314
-114.14579777935825	0.006187098130227962	6514.6377624412025
-114.04560551927666	0.006192526929028774	6503.206261656163
-113.94655138045468	0.006197903433363655	6491.914483652733
-113.8485844238382	0.006203230117913126	6480.756290886025
-113.75165756006297	0.00620850926849615	6469.726007340184
-113.65572714702074	0.006213743001914681	6458.818370402016
-113.5607526404472	0.006218933283175433	6448.028489065701
-113.46669628918805	0.006224081940502465	6437.351807473361
-113.37352286831319	0.0062291906784790645	6426.784072976646
-113.28119944445511	0.006234261089597515	6416.321308048298
-113.18969516871252	0.006239294664447466	6405.959785487696
-113.09898109323944	0.006244292800734975	6395.696006457268
-113.00903000827131	0.006249256811292972	6385.526680961994
-112.91981629685604	0.006254187931218311	6375.448710445789
-112.83131580498052	0.006259087324249621	6365.459172228947
-112.7435057251326	0.006263956088482865	6355.555305552592
-112.65636449162774	0.006268795261507164	6345.734499030503
-112.56987168627124	0.006273605825031512	6335.994279337611
-112.48400795312708	0.006278388709063079	6326.332300988286
-112.39875492133632	0.006283144795689278	6316.746337078109
-112.31409513506827	0.006287874922508869	6307.234270879505
-112.23001198981096	0.006292579885751255	6297.794088196441
-112.14648967430894	0.006297260443118071	6288.423870395383
-112.06351311754457	0.006301917316376898	6279.121788040359
