#mass 1.0, fConst 10.0, rSep 2.0, abstand 50.0, nbFcts 100.0, nbGHpoints 3.0, nbEigval 50.0, 

xDist	zDist	mxPTord	
43.0	0.0	1.604399	
30.4	30.4	1.604396	
44.0	0.0	1.603870	
31.1	31.1	1.603867	
45.0	0.0	1.603364	
31.8	31.8	1.603362	
46.0	0.0	1.602881	
32.5	32.5	1.602879	
47.0	0.0	1.602418	
33.2	33.2	1.602416	
48.0	0.0	1.601975	
33.9	33.9	1.601973	
49.0	0.0	1.601550	
34.6	34.6	1.601548	
50.0	0.0	1.601141	
35.4	35.4	1.601139	
51.0	0.0	1.600749	
36.1	36.1	1.600747	
52.0	0.0	1.600372	
36.8	36.8	1.600370	
53.0	0.0	1.600009	
37.5	37.5	1.600007	
54.0	0.0	1.599659	
38.2	38.2	1.599658	
55.0	0.0	1.599323	
38.9	38.9	1.599321	
56.0	0.0	1.598998	
39.6	39.6	1.598996	
57.0	0.0	1.598684	
40.3	40.3	1.598683	
58.0	0.0	1.598382	
41.0	41.0	1.598381	
59.0	0.0	1.598090	
41.7	41.7	1.598088	
