#mass 1.0, fConst 1.0, rSep 2.0, xDist 0.0, zDist 0.4, nbEigval 3.0, mxPTord 50.0, 

nbFcts	nbGHpoints	eigenvalues	
25.0	200.0	1.629594	2.172041	3.205149	
50.0	200.0	1.629592	2.172036	3.205140	
75.0	200.0	1.629592	2.172036	3.205140	
25.0	500.0	1.629594	2.172041	3.205149	
50.0	500.0	1.629592	2.172036	3.205140	
75.0	500.0	1.629592	2.172036	3.205140	
25.0	1000.0	1.629594	2.172041	3.205149	
50.0	1000.0	1.629592	2.172036	3.205140	
75.0	1000.0	1.629592	2.172036	3.205140	
25.0	2000.0	1.629594	2.172041	3.205149	
50.0	2000.0	1.629592	2.172036	3.205140	
75.0	2000.0	1.629592	2.172036	3.205140	
