# force constant = 1.0 ; mass = 1.0 ; range separation parameter = 2.0 ; xDist = 0.5 ; zDist = 0.5
#x	perturbation potential	total potential
-117.94769804739158	0.005977144069062167	6955.835714483399
-117.6645517040559	0.005991484168109783	6922.47935534239
-117.43263618370538	0.006003281015146752	6895.218023808271
-117.22759206619182	0.006013749754276405	6871.160184568494
-117.04009235685395	0.006023354755506151	6849.197632805206
-116.86532174475141	0.006032335355488031	6828.757745587489
-116.70038733514676	0.0060408351171693095	6809.4962429217585
-116.54338062410189	0.0060489486146841475	6791.185832595758
-116.39295927932464	0.006056742274854636	6773.666541641537
-116.24813403256613	0.006064264988756581	6756.820397291718
-116.10814935686821	0.00607155404884256	6740.5572450924565
-115.97241177841562	0.006078638713339682	6724.80622548991
-115.84044437889837	0.006085542466857483	6709.510362492791
-115.71185662160025	0.0060922845186078154	6694.622973693406
-115.58632360449606	0.006098880831874338	6680.105201082473
-115.46357135791386	0.006105344853084758	6665.924260706887
-115.3433661551461	0.00611168804155712	6652.052169688093
-115.22550656743232	0.006117920263001845	6638.464799780957
-115.1098174444285	0.006124050087481445	6625.141160094915
-114.99614527613106	0.006130085018856647	6612.062844269538
-114.88435456561015	0.006136031674125556	6599.213598010089
-114.77432495436291	0.006141895925472354	6586.578976260772
-114.6659489168445	0.0061476830141278666	6574.14606818321
-114.55912989151803	0.006153397642621808	6561.903274148492
-114.45378075094722	0.006159044050259499	6549.840123136998
-114.34982253826885	0.006164626075424253	6537.947121892866
-114.24718341516162	0.006170147207424426	6526.215629295997
-114.14579777935825	0.006175610629962654	6514.637750953702
-114.04560551927666	0.006181019257832486	6503.206250148492
-113.94655138045468	0.00618637576809504	6491.914472125068
-113.8485844238382	0.006191682626722641	6480.756279338535
-113.75165756006297	0.0061969421114936125	6469.725995773027
-113.65572714702074	0.0062021563317664966	6458.818358815345
-113.5607526404472	0.006207327245640803	6448.028477459664
-113.46669628918805	0.006212456674916421	6437.351795848095
-113.37352286831319	0.0062175463181889596	6426.784061332285
-113.28119944445511	0.0062225977623586205	6416.321296384971
-113.18969516871252	0.0062276124927825105	6405.959773805524
-113.09898109323944	0.0062325919022617575	6395.695994756369
-113.00903000827131	0.006237537299023641	6385.526669242482
-112.91981629685604	0.00624244991383339	6375.448698707772
-112.83131580498052	0.00624733090634949	6365.459160472529
-112.7435057251326	0.0062521813708190195	6355.555293777874
-112.65636449162774	0.0062570023411953335	6345.7344872375825
-112.56987168627124	0.006261794795748418	6335.994267526582
-112.48400795312708	0.006266559661228432	6326.332289159239
-112.39875492133632	0.006271297816634417	6316.74632523113
-112.31409513506827	0.00627601009663328	6307.234259014679
-112.23001198981096	0.006280697294668076	6297.79407631385
-112.14648967430894	0.006285360165789567	6288.423858495106
-112.06351311754457	0.006289999429240779	6279.121776122472
-111.9810679402348	0.006294615770820449	6269.8860831335105
-111.89914041037862	0.006299209845048228	6260.715111500659
-111.81771740244713	0.006303782277151638	6251.6072663290415
-111.73678635985588	0.006308333664892501	6242.561021347702
-111.65633526039973	0.0063128645802485	6233.574914755973
-111.57635258436879	0.0063173755709637095	6224.647545391261
-111.49682728509276	0.006321867161980442	6215.777569188065
-111.41774876169089	0.00632633985676339	6206.963695901492
-111.33910683382744	0.006330794138525802	6198.204686071359
-111.2608917182939	0.0063352304713665255	6189.499348205432
-111.18309400725825	0.006339649301325669	6180.846536162714
-111.10570464803729	0.006344051057365977	6172.245146719505
-111.0287149242633	0.006348436152286218	6163.694117302816
-110.952116438328	0.0063528049835722845	6155.192423877131
-110.87590109499953	0.006357157934191135	6146.739078971994
-110.8000610861168	0.0063614953733322505	6138.33312983898
-110.72458887627582	0.006365817657100769	6129.973656727808
-110.64947718942999	0.0063701251291661265	6121.659771272223
-110.57471899633312	0.006374418121369671	6113.390614977137
-110.50030750276169	0.006378696954294369	6105.165357799399
-110.42623613845683	0.006382961937799496	6096.983196815052
-110.35249854673333	0.006387213371522898	6088.8433549667625
-110.27908857470645	0.006391451545353202	6080.74507988552
